country,number,energy,circles_curves,axis_points,synchronous_limbs,external_body_spaces,shifting_relations,jumping,emotion,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized
Thailand,23,56,18,20,93,60,34,0,74,43.636,0.0,13.514,94.624,46.377,6.25,0.0,70.968
Thailand,24,66,22,32,35,76,86,0,80,61.818,5.128,29.73,32.258,69.565,87.5,0.0,80.645
Thailand,25,57,25,72,80,44,60,0,73,45.455,8.974,83.784,80.645,23.188,46.875,0.0,69.355
Thailand,26,60,52,70,80,55,63,0,74,50.909,43.59,81.081,80.645,39.13,51.562,0.0,70.968
Thailand,27,68,55,61,16,64,82,0,80,65.455,47.436,68.919,11.828,52.174,81.25,0.0,80.645
Thailand,28,70,83,45,12,80,86,0,81,69.091,83.333,47.297,7.527,75.362,87.5,0.0,82.258
Thailand,29,72,64,69,10,65,88,0,83,72.727,58.974,79.73,5.376,53.623,90.625,0.0,85.484
Thailand,30,70,77,66,23,68,84,0,82,69.091,75.641,75.676,19.355,57.971,84.375,0.0,83.871
Vietnam,01,61,35,18,16,69,85,0,84,52.727,21.795,10.811,11.828,59.42,85.938,0.0,87.097
Vietnam,02,57,25,16,67,72,58,0,78,45.455,8.974,8.108,66.667,63.768,43.75,0.0,77.419
Vietnam,03,43,20,35,92,32,45,0,68,20.0,2.564,33.784,93.548,5.797,23.438,0.0,61.29
Vietnam,04,61,55,20,12,68,86,6,79,52.727,47.436,13.514,7.527,57.971,87.5,11.321,79.032
Vietnam,05,56,38,14,78,72,52,5,77,43.636,25.641,5.405,78.495,63.768,34.375,9.434,75.806
Vietnam,06,45,28,50,20,42,70,0,75,23.636,12.821,54.054,16.129,20.29,62.5,0.0,72.581
Vietnam,07,58,32,12,91,78,38,0,82,47.273,17.949,2.703,92.473,72.464,12.5,0.0,83.871
Vietnam,08,59,35,10,94,86,35,0,86,49.091,21.795,0.0,95.699,84.058,7.812,0.0,90.323
Vietnam,09,44,25,76,90,30,44,0,78,21.818,8.974,89.189,91.398,2.899,21.875,0.0,77.419
Vietnam,10,47,25,52,24,42,67,0,73,27.273,8.974,56.757,20.43,20.29,57.812,0.0,69.355
Vietnam,11,49,28,12,90,58,38,0,83,30.909,12.821,2.703,91.398,43.478,12.5,0.0,85.484
Vietnam,12,72,76,50,35,68,83,46,86,72.727,74.359,54.054,32.258,57.971,82.812,86.792,90.323
Vietnam,13,62,32,67,35,54,81,0,88,54.545,17.949,77.027,32.258,37.681,79.688,0.0,93.548
Vietnam,14,58,25,48,8,64,84,0,82,47.273,8.974,51.351,3.226,52.174,84.375,0.0,83.871
Vietnam,15,42,20,82,91,28,48,0,88,18.182,2.564,97.297,92.473,0.0,28.125,0.0,93.548
Vietnam,16,57,31,12,86,80,45,0,84,45.455,16.667,2.703,87.097,75.362,23.438,0.0,87.097
Vietnam,17,60,27,62,85,67,69,0,82,50.909,11.538,70.27,86.022,56.522,60.938,0.0,83.871
Vietnam,18,71,35,52,12,63,86,42,88,70.909,21.795,56.757,7.527,50.725,87.5,79.245,93.548
Vietnam,19,57,32,78,78,45,78,0,90,45.455,17.949,91.892,78.495,24.638,75.0,0.0,96.774
Vietnam,20,62,28,68,82,64,72,0,87,54.545,12.821,78.378,82.796,52.174,65.625,0.0,91.935
Vietnam,21,51,20,84,90,35,55,5,89,34.545,2.564,100.0,91.398,10.145,39.062,9.434,95.161
Vietnam,22,67,22,42,8,61,88,0,90,63.636,5.128,43.243,3.226,47.826,90.625,0.0,96.774
Vietnam,23,58,24,52,10,54,85,0,89,47.273,7.692,56.757,5.376,37.681,85.938,0.0,95.161
Vietnam,24,62,25,24,12,78,86,0,88,54.545,8.974,18.919,7.527,72.464,87.5,0.0,93.548
Vietnam,25,69,28,26,30,70,92,0,75,67.273,12.821,21.622,26.882,60.87,96.875,0.0,72.581
Vietnam,26,54,20,38,10,53,80,0,85,40.0,2.564,37.838,5.376,36.232,78.125,0.0,88.71
Vietnam,27,61,25,14,18,79,87,0,88,52.727,8.974,5.405,13.978,73.913,89.062,0.0,93.548
Vietnam,28,60,32,55,40,46,78,0,91,50.909,17.949,60.811,37.634,26.087,75.0,0.0,98.387
Vietnam,29,70,20,18,15,82,92,0,90,69.091,2.564,10.811,10.753,78.261,96.875,0.0,96.774
Vietnam,30,72,25,16,90,80,50,0,92,72.727,8.974,8.108,91.398,75.362,31.25,0.0,100.0
Vietnam,31,59,32,75,93,66,50,0,86,49.091,17.949,87.838,94.624,55.072,31.25,0.0,90.323
Vietnam,32,73,25,58,8,60,89,45,92,74.545,8.974,64.865,3.226,46.377,92.188,84.906,100.0
